fold,h,order,seasonal_order,mape_val,aicc,bic,lb_pvalue,RMSE,MAE,MAPE,sMAPE,RegionName
54,12,"(1, 1, 2)","(1, 1, 1, 12)",0.32063610066034587,3802.0465870587545,3822.965138115411,3.5451994376207933e-15,4604.362989105665,4089.7512152941054,1.2239315480734034,1.2334935353039667,"Chicago, IL"
0,3,"(1, 1, 2)","(1, 1, 0, 12)",1.5303504317840853,1612.7282373264752,1624.9183954483515,2.2019441649272647e-07,3761.214724918953,3177.355728384515,0.7004553288508513,0.7039249372890389,"San Francisco, CA"
0,6,"(1, 1, 2)","(1, 1, 0, 12)",1.5303504317840853,1612.7282373264752,1624.9183954483515,2.2019441649272647e-07,7132.91668921584,6262.840170948097,1.3984449657888012,1.4113194977118095,"San Francisco, CA"
0,12,"(1, 1, 2)","(1, 1, 0, 12)",1.5303504317840853,1612.7282373264752,1624.9183954483515,2.2019441649272647e-07,14863.955239645788,12717.273174340677,2.915790662510865,2.9760458106182623,"San Francisco, CA"
1,3,"(2, 1, 0)","(1, 1, 1, 12)",1.3870396948711166,1648.7809838441826,1661.0899042887013,0.00024230914179220874,3488.0838975609418,2838.552871702724,0.6394440419820278,0.6363604333782324,"San Francisco, CA"
1,6,"(2, 1, 0)","(1, 1, 1, 12)",1.3870396948711166,1648.7809838441826,1661.0899042887013,0.00024230914179220874,5538.460109134296,4910.4991047040285,1.1189717862191064,1.1110388682918926,"San Francisco, CA"
1,12,"(2, 1, 0)","(1, 1, 1, 12)",1.3870396948711166,1648.7809838441826,1661.0899042887013,0.00024230914179220874,10703.245222625404,9199.806890250466,2.13709301087284,2.106412019827629,"San Francisco, CA"
2,3,"(2, 2, 1)","(1, 1, 1, 12)",2.6253646374890334,1691.5416327294733,1706.3455552485555,3.0981762718704806e-09,6685.8478567302855,5841.359677103853,1.340822211739714,1.3527559895785635,"San Francisco, CA"
2,6,"(2, 2, 1)","(1, 1, 1, 12)",2.6253646374890334,1691.5416327294733,1706.3455552485555,3.0981762718704806e-09,10561.451277009863,9591.260974466539,2.2216827410131663,2.2521564023190668,"San Francisco, CA"
2,12,"(2, 2, 1)","(1, 1, 1, 12)",2.6253646374890334,1691.5416327294733,1706.3455552485555,3.0981762718704806e-09,17783.978159807426,15547.649760448083,3.618742742773304,3.7068262891899915,"San Francisco, CA"
3,3,"(2, 2, 1)","(1, 1, 1, 12)",5.9118577381175985,1743.7437634623361,1758.7459619732197,3.297451223552369e-09,10081.19851838483,9001.625395966927,2.0961512935060824,2.0689526397694533,"San Francisco, CA"
3,6,"(2, 2, 1)","(1, 1, 1, 12)",5.9118577381175985,1743.7437634623361,1758.7459619732197,3.297451223552369e-09,19468.012337546577,17209.437526027217,4.0299424719701635,3.9286741242235412,"San Francisco, CA"
3,12,"(2, 2, 1)","(1, 1, 1, 12)",5.9118577381175985,1743.7437634623361,1758.7459619732197,3.297451223552369e-09,22087.94826299401,20270.767118525808,4.701340496849178,4.573383142434095,"San Francisco, CA"
4,3,"(0, 2, 0)","(1, 1, 0, 12)",1.9381612993179604,1834.887618471916,1840.1214734043263,2.17623770334439e-05,2200.8792547872363,1764.3201201361953,0.4142712567806967,0.41557370568711083,"San Francisco, CA"
4,6,"(0, 2, 0)","(1, 1, 0, 12)",1.9381612993179604,1834.887618471916,1840.1214734043263,2.17623770334439e-05,11432.449413690894,8326.097018854023,1.9358631041208694,1.971750412359281,"San Francisco, CA"
4,12,"(0, 2, 0)","(1, 1, 0, 12)",1.9381612993179604,1834.887618471916,1840.1214734043263,2.17623770334439e-05,48170.088414200756,35879.70529732896,7.851109056953693,8.438394422487523,"San Francisco, CA"
5,3,"(0, 2, 2)","(0, 1, 1, 12)",0.8239077848713363,1838.4254366852242,1848.77150075398,1.3408381735994039e-11,7970.456874963521,6698.735882865149,1.5533196102072897,1.5705451216179067,"San Francisco, CA"
5,6,"(0, 2, 2)","(0, 1, 1, 12)",0.8239077848713363,1838.4254366852242,1848.77150075398,1.3408381735994039e-11,20648.613625870992,16951.826135018346,3.826622447224986,3.937331522241145,"San Francisco, CA"
5,12,"(0, 2, 2)","(0, 1, 1, 12)",0.8239077848713363,1838.4254366852242,1848.77150075398,1.3408381735994039e-11,51430.449583245485,42529.192590528626,8.952323717700056,9.563437302485276,"San Francisco, CA"
6,3,"(0, 2, 0)","(1, 1, 0, 12)",2.685762301791497,1936.9466576833538,1942.294766537055,8.927693354813584e-06,5159.001458836281,4325.792179068725,0.9650297420721798,0.9716521297270816,"San Francisco, CA"
6,6,"(0, 2, 0)","(1, 1, 0, 12)",2.685762301791497,1936.9466576833538,1942.294766537055,8.927693354813584e-06,13184.097977103562,10908.577100191042,2.3441972464932777,2.3844144796660487,"San Francisco, CA"
6,12,"(0, 2, 0)","(1, 1, 0, 12)",2.685762301791497,1936.9466576833538,1942.294766537055,8.927693354813584e-06,29332.54076549103,24687.570145918275,4.934039139927289,5.1063508869922725,"San Francisco, CA"
7,3,"(1, 2, 0)","(0, 1, 1, 12)",1.5728571267094273,1988.6904737010009,1996.7238865644326,4.272688517810172e-12,1544.2136376130925,1531.9630774827674,0.32661425201141303,0.3271555985647463,"San Francisco, CA"
